"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"11",2.41425486819044,2.62709695306903,2.48244993801596,2.59668118776268,2.42905945448614,2.66595607770501,2.83555909373303,2.80309771698452,2.40909453951385,2.63059363699475,2.43692412882102,2.5398990344054,2.38041270970147
"21",2.48977659887611,2.62141573670934,2.42246362268673,2.51216364296309,2.36169507603487,2.56089381863701,2.63315866503826,2.76096511642305,2.36917959586576,2.48032760720986,2.40927868736151,2.43962583088339,2.27702787182724
"31",2.31440461114794,2.62123145569739,2.49422444069956,2.33822460563042,2.3354861121323,2.48112297474177,2.46057582114099,2.54373560601461,2.25540237308181,2.51967707821662,2.42885652165679,2.42924660344083,2.2302390140388
"41",2.29589140198496,2.6231488304193,2.5427981741186,2.43692240066095,2.47536594902019,2.46690301561108,2.50072785308558,2.52082408439952,2.397085465906,2.42036113030918,2.48371526340078,2.37944052101584,2.49493849954534
"51",2.32902889375117,2.48418408180713,2.57260331616034,2.44710407101412,2.48033246754767,2.5115949835612,2.53848715998971,2.53519860748935,2.32444084305506,2.46797207847037,2.32745291553744,2.39798660329431,2.32727758857458
"61",2.2994256129549,2.40951584802332,2.52950487836257,2.40788038559276,2.4408800970386,2.30667507530413,2.25544631512965,2.27295765957589,2.54200914371339,2.27728829008243,2.28387891245731,2.35366346405111,2.35177013250676
"71",2.17947252164841,2.24863901001061,2.43614714311304,2.3657692331938,2.2751169122009,2.12931513441686,2.11856257629815,2.13606720107059,2.49002078147976,2.17757602848819,2.2873909096215,2.27297621466402,2.31146484953265
"12",2.32962727778313,2.7008978093591,2.54316817715717,2.62625991042547,2.42845708737589,2.71552397639262,2.83121864716317,2.80479200113562,2.41573806356155,2.75173018176439,2.53646939440885,2.59922001417544,2.35802030341365
"22",2.36285240723815,2.53535358575739,2.65088680104597,2.49493122540211,2.5051617887783,2.47006941401476,2.5337251074657,2.56364726269483,2.60295217168852,2.56805516657015,2.4740780995897,2.50072672300457,2.43974008686874
"32",2.40164731130677,2.64027577735166,2.56666733264754,2.5833833577922,2.51877776957592,2.57679194367274,2.72311187491463,2.72766808270103,2.35482943674279,2.68877180526284,2.54111497797509,2.62468281185049,2.47650470035457
"42",2.25862311219604,2.5383745607363,2.5012101839285,2.49461735415967,2.53428100798297,2.49712479727757,2.59345353273557,2.53841297274761,2.39289357629714,2.50972046685172,2.48596747532182,2.38314161987461,2.4092840612287
"52",2.28283173203616,2.53216985695291,2.54386066836709,2.40844123177133,2.42866673326652,2.46174534519798,2.4858088866945,2.45083350265918,2.35994481831106,2.45011415392676,2.34926673410736,2.38341428433316,2.35345669073442
"62",2.31182619680681,2.39406903679981,2.55638140962543,2.42605257993985,2.41224442637406,2.27879684016869,2.34168815693484,2.27616511834037,2.53994312456546,2.37955472878159,2.36828810398366,2.2848210226799,2.37348874175487
"72",2.18540996228349,2.22660314800764,2.47687727989123,2.29323373434588,2.27938077923844,2.11086894476943,2.15135142332951,2.119718540764,2.52611999858778,2.23983426400079,2.27097721903738,2.19102616423137,2.23160662183309
"13",2.50141836807864,2.60058828418976,2.433087372566,2.76351925410842,2.42894180656913,2.75394671694227,2.90682104318779,2.93420358226538,2.38315978746426,2.60449859891548,2.40120527890003,2.68110971906302,2.23813127141934
"23",2.46486686613746,2.56461435863539,2.31736734865659,2.64739487235625,2.40504793058629,2.7056050547493,2.79518369014049,2.83880094079311,2.30999182088198,2.58419415208896,2.34289555846401,2.60276057455173,2.26444075764879
"33",2.38385079529783,2.70952559534006,2.36540793330806,2.51340135734758,2.51417136794441,2.67536127285892,2.72836977386074,2.71890969908385,2.26336651269696,2.58098972788877,2.32078084013971,2.56928188151011,2.21893318454065
"43",2.33573896434215,2.60738172605647,2.42753614408803,2.53670838377972,2.43148187674716,2.53929881467106,2.64289318303456,2.63720663935761,2.35635913605827,2.47383294537773,2.34327262513327,2.52874732420779,2.29843725732769
"53",2.41803735587511,2.60944171220747,2.4366711937302,2.53728691067427,2.46107755566776,2.64429013968048,2.68743783193837,2.62270251770735,2.30756222887972,2.47600327576755,2.28386817016364,2.58732891789064,2.24756369097328
"63",2.35915473490835,2.42247777751235,2.44108653241844,2.38414423997627,2.41072434049215,2.43937790186008,2.40091401045097,2.44573667459038,2.5342511599004,2.35208348498223,2.29254242436944,2.34117826289373,2.25566585894264
"73",2.22440022768546,2.27259385809724,2.34440410680696,2.31757407834781,2.26373129318779,2.26906409273976,2.23708392651084,2.28543632366505,2.46409786461341,2.21387566438141,2.31454992666063,2.22519952009128,2.19775237281787
"14",2.25627507371648,2.36223899704951,2.30402256013411,2.46232813244084,2.23875539067804,2.54482973352545,2.6683656158738,2.76180960968839,2.42955488554899,2.49550033105589,2.31788941790791,2.47943314770155,2.17235211278112
"24",2.32508525537098,2.3609381556328,2.28329425502497,2.36300442635632,2.22186528855617,2.42598399207635,2.45686531767295,2.58043942571866,2.32942700577663,2.30102614627897,2.25088114664713,2.36812723540624,2.11047146544213
"34",2.38982699479138,2.69175939814504,2.39644973091838,2.52811943462236,2.42804343024346,2.56135137821927,2.64437322081937,2.78012428186558,2.44469649332904,2.50351274721623,2.38821362057453,2.63613401593898,2.27325769401172
"44",2.31476095451184,2.501033673752,2.3717604919571,2.43635234019242,2.37709280899862,2.40241981482742,2.5268398800859,2.52336943731678,2.46355727537259,2.35630002434744,2.31830039975728,2.42873294648443,2.30367483523753
"54",2.3727857995641,2.38729026735767,2.45850550493227,2.38213033610559,2.35651300149711,2.44553308538106,2.46704182975587,2.50764658842212,2.48361661090602,2.3298964143701,2.27201184324451,2.430340052078,2.29388957481918
"64",2.40375791123631,2.41698162607135,2.60386309651706,2.44041782503365,2.38679986598036,2.35346018095191,2.36978421858062,2.40915955157717,2.66416279648623,2.39451158222362,2.54579674742886,2.39181657967687,2.42203423262953
"74",2.35507922003313,2.30185687456131,2.482336094451,2.38341859322275,2.27194672494578,2.12958237050456,2.23290906622228,2.21216500945876,2.79371293470571,2.26535825496415,2.48206700599173,2.29023917238104,2.32767824864162
"15",2.40638509679361,2.63544517463036,2.33083163925744,2.54563414425554,2.37540934879472,2.52009245107601,2.66259633667522,2.86923980478294,2.27157317323245,2.51154096400118,2.4359940635148,2.55790510718496,2.31413360729143
