"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"11",1.60314947397316,1.59943473555505,1.60412408037995,1.6011718695603,1.60634646538369,1.60130548840417,1.60451319723876,1.60137743682795,1.6056279432464,1.60186045696323,1.60856423487049,1.60293700087263,1.60657122028805
"21",1.60007933827307,1.59781624862512,1.60196381506303,1.6004196027226,1.60490580926769,1.59996731660881,1.60215980136643,1.59938486688274,1.60441681013093,1.60124939401766,1.60748573326766,1.60053567969883,1.60579638946973
"31",1.60025003026817,1.59556889954,1.60004146684907,1.59930617077915,1.60239709079715,1.59661158799733,1.60063964327568,1.5987059528956,1.60236047266178,1.59956135410437,1.60478422410193,1.59818465234046,1.60499343420853
"41",1.60479146385416,1.6005579862894,1.60581562354548,1.60271169623135,1.60635861653783,1.60198779301829,1.60667507712239,1.60508986468472,1.60736053868153,1.60503259994159,1.6125508431616,1.60353617106892,1.61005677732879
"51",1.60115940445489,1.60109668241331,1.60399615527535,1.60190744083379,1.60662370325259,1.60133454730904,1.60686660867078,1.60349348453945,1.60538484340256,1.60382682251243,1.61167383000843,1.60247064350773,1.60905623604359
"61",1.59977372113471,1.59787171382633,1.60179452845632,1.59788048283594,1.60325933057251,1.59830200537447,1.6033945166748,1.59994603872467,1.60431816493157,1.60149782997798,1.60705891806153,1.59820675917581,1.60624105824762
"71",1.60180118741803,1.60119214568834,1.60382108909189,1.60118471900738,1.60702892441262,1.60142731308957,1.60610072684821,1.60368914161485,1.6054009825231,1.60497586955527,1.61023589700213,1.60219457468086,1.60880118382162
"12",1.60465001284468,1.59921334126018,1.6043764332821,1.60293386276868,1.60581231042211,1.60261551689603,1.60447533638078,1.6032750490697,1.60797281534736,1.6030346633569,1.60936382332539,1.60427112398432,1.60741648632621
"22",1.60551343684188,1.60233805526439,1.60755452360253,1.60581462284142,1.60751959392282,1.60435149084304,1.60657788319375,1.60561167689804,1.6107640755099,1.60675133713122,1.61114566186301,1.6050466103403,1.61126329391977
"32",1.59751950256236,1.59318882498502,1.5984274089905,1.59696643405317,1.59961982398877,1.59509863640111,1.59832746184964,1.59731063735796,1.60166657349003,1.59677280691074,1.60277097295213,1.59651832754298,1.60319561569576
"42",1.60589896504164,1.6012892400568,1.60626698696528,1.60371682530612,1.60626376672544,1.60360749292629,1.6077361899927,1.60646680009319,1.60941873805022,1.60591529085293,1.61256137352323,1.60526807804239,1.61086676315459
"52",1.60105769954658,1.59983723338727,1.60417363165571,1.60081204839636,1.60486595763884,1.60098671480707,1.60579296698653,1.60468195722349,1.60765564849814,1.60500373341853,1.61024767540403,1.60289031598965,1.61017461320828
"62",1.59803754256607,1.59570392060503,1.59993228154836,1.59596791794367,1.60052991960717,1.59789167807042,1.59970701075349,1.600361602224,1.60424596984301,1.60029654823139,1.60487236598927,1.59755283047528,1.60446355883394
"72",1.6014360298047,1.60145368875793,1.60623934765751,1.6011908462388,1.6063258356754,1.60195296698215,1.60560839584314,1.60545775376479,1.60882612561871,1.60542847539281,1.6117046505714,1.60359691722911,1.60896163192942
"13",1.60422868229098,1.59871521369881,1.60528609548889,1.60217285357933,1.60065000159724,1.59762206424072,1.60115001906057,1.60139765363895,1.6062702383324,1.60273722756049,1.6037940891326,1.60204503227246,1.60464778407942
"23",1.60247890885188,1.59919888338092,1.60441369558782,1.60279715987301,1.60134427935929,1.59771878538565,1.60142219271644,1.60160326311246,1.60628474769418,1.60148151854674,1.60455509372672,1.60142719177105,1.60481773087132
"33",1.60098416164412,1.59513535099157,1.60150797544568,1.60031156923357,1.59775306433147,1.59361669208552,1.59918548853334,1.59735924441079,1.6031178937111,1.60007851526061,1.60083943246441,1.59729185761775,1.60257754483397
"43",1.60605406800222,1.60007429264288,1.60607687661722,1.60396986626902,1.60234678409353,1.59884145546717,1.60400755504378,1.60381498627071,1.60796548100744,1.60481698691815,1.60769569085334,1.6026606628855,1.6077046126228
"53",1.60310931188977,1.60109236698025,1.60475309529475,1.6041400718086,1.60313312727734,1.59950350761847,1.60485338783803,1.60402487954032,1.60892146458191,1.60533857287307,1.6081392037183,1.60310836348639,1.60851679293599
"63",1.60054954646814,1.59886131845862,1.60258804708694,1.59894952498189,1.60008381748258,1.5962974952867,1.60095990842763,1.6006264343199,1.60681866924593,1.60222882742634,1.60417121270533,1.59976785181763,1.60510980399461
"73",1.60348755236646,1.60228803228774,1.60510788770185,1.60251576135272,1.60266352830049,1.59815704051386,1.60402155253169,1.60425117412966,1.60822996434818,1.6043379142876,1.60668729887911,1.60213207652724,1.6081977788726
"14",1.60699146102203,1.60019548139654,1.60654522767027,1.60598649202472,1.60570958442339,1.60078734294849,1.60629427408535,1.60358728283022,1.61016769168011,1.60507778891699,1.60892511213461,1.60480972573238,1.60586686559856
