"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"11",1.56995736328252,1.56618845224142,1.57076360208649,1.56755078883509,1.57273828571689,1.56801804107099,1.57092154821774,1.5679878929898,1.57230468941325,1.56845605835077,1.5748164638799,1.5694210125188,1.573118251602
"21",1.56669883670083,1.56472580155336,1.56807730833218,1.56712892303772,1.57145837625424,1.56674717982759,1.56897804868946,1.56603805482613,1.57067439571865,1.56746588496214,1.57394509022265,1.56732742935468,1.57233718186593
"31",1.56702890466198,1.56215073644488,1.56667555417406,1.56559286440256,1.56846493459392,1.5632061233344,1.56731570427842,1.56528073582038,1.56916909507695,1.56620774079684,1.57068708242594,1.56451624600114,1.57099751551549
"41",1.57170186839343,1.56727345666271,1.57197889768832,1.56917370298406,1.57275426902731,1.56877090270584,1.57313952654564,1.57168567540197,1.57376350941519,1.57137075941132,1.57879415783006,1.57026928943125,1.57639945835217
"51",1.56858803544062,1.56811980704655,1.57103056383489,1.56894050425695,1.57325695991979,1.56845734265841,1.57357637424914,1.57010033234779,1.57261873456466,1.57089316669083,1.57862084766753,1.56954295452552,1.57573278664605
"61",1.56686510031611,1.56505591776774,1.56848651270287,1.56500865729674,1.56986619421683,1.56555827183202,1.57049208260257,1.56719588116979,1.57110709920612,1.5685769437323,1.57395111653411,1.56560101095431,1.57284861800411
"71",1.56912696464705,1.56864758534485,1.57064369792615,1.56835030931028,1.57371493761735,1.56887098209691,1.57344026595624,1.5711267092098,1.57258265940293,1.57201615772041,1.57714610690568,1.56986822658771,1.57534096859688
"12",1.57164132806302,1.56626896678421,1.5708805373709,1.56925863370022,1.57231726744304,1.56936559406529,1.57076513401402,1.56999381356922,1.57449075730462,1.56957989765109,1.57580785348321,1.57079263332426,1.57414105193073
"22",1.57202072421794,1.56950448535251,1.57415081010453,1.57256854437843,1.57433339996436,1.57133088647632,1.57328856078612,1.57261464033702,1.57718480975792,1.57313261022068,1.57774410888899,1.57192943978452,1.57794392431971
"32",1.56429851955875,1.56016454740611,1.5646757144166,1.56378118183786,1.56619756229954,1.56219314232533,1.56482433350641,1.56415003458477,1.56814551343382,1.56326173643647,1.56930347915928,1.5633428207896,1.56937646521513
"42",1.57265337720832,1.56811542980784,1.57256432745902,1.57074132308595,1.57260384302442,1.57023809428376,1.5741938015015,1.57302664694144,1.57591618433856,1.57230712037623,1.5787337339749,1.57202298250572,1.57722716280576
"52",1.56842767003079,1.56718494160473,1.5710417808794,1.56821156051274,1.57156846181781,1.56824021600709,1.57243080242192,1.57176406898079,1.57475555288965,1.57192131096659,1.57715413567368,1.57040033592541,1.57713665493647
"62",1.56550824114264,1.56331057480073,1.56704288686243,1.56355360128181,1.56751754941793,1.56521821822542,1.56678539533096,1.56772065545418,1.57153864439949,1.56751256964896,1.57217685683312,1.5653382578112,1.57168843177975
"72",1.56895590890874,1.56901776237791,1.57280035597751,1.56864465555987,1.57308508063271,1.56929555103828,1.57277793201388,1.57274578727411,1.57561816967581,1.57231627840408,1.57899950017766,1.57119977801351,1.57604418500541
"13",1.57086484765349,1.56571898506012,1.57169852038798,1.56852223991367,1.56738138953377,1.56456215300658,1.56759886331358,1.56799888826129,1.57277456845333,1.56914780352004,1.57034307853995,1.56857862538997,1.57130526298546
"23",1.56912072383483,1.5660753416132,1.57072072663701,1.5693483370805,1.56797543158,1.56469897201286,1.56807343936229,1.56826926262478,1.57264972325192,1.56798361266402,1.57130637697158,1.56808747420196,1.57140140629332
